modelname,language,task,granularity,seed,f1,accuracy,mae,r2,f1_EN,accuracy_EN,mae_EN,r2_EN,f1_NL,accuracy_NL,mae_NL,r2_NL,f1_IT,accuracy_IT,mae_IT,r2_IT
bertweet-base,EN-NL,ordinal,7,13,0.7477743660307402,0.7479478512795751,1.526798647996137,0.1567523612167159,0.7939042065519101,0.7964509394572025,1.2463465553235908,0.2524745207804751,0.7081888041231273,0.706199460916442,1.7681940700808625,0.0755852917002658,,,,
twitter-roberta-base,EN-NL,ordinal,7,13,0.7129720148281873,0.7209077740222115,1.6658619024625785,0.1193966782664879,0.7468245564265414,0.7526096033402923,1.4572025052192066,0.1839854988002993,0.6834485285945323,0.6936208445642408,1.8454627133872417,0.0644745379947402,,,,
mdeberta-v3-base,EN-NL,ordinal,7,13,0.7543109555802273,0.7585707387735393,1.5311443746982134,0.1882837710187901,0.7572516296995118,0.7651356993736952,1.4874739039665972,0.1876441004018045,0.7512971979310961,0.7529200359389039,1.568733153638814,0.1884211682208263,,,,
xlm-roberta-base,EN-NL,ordinal,7,13,0.7307357020641738,0.7368421052631579,1.6277160791887977,0.162844417038348,0.7083615419155359,0.7202505219206681,1.6179540709812108,0.1283747544574216,0.7486467035889733,0.7511230907457322,1.636118598382749,0.1915074886945834,,,,
bert-base-multilingual-cased,EN-NL,ordinal,7,13,0.7101286251393643,0.7213906325446644,1.7281506518590053,0.1193297325981183,0.6874905929517051,0.7066805845511482,1.722338204592902,0.0666175594240153,0.7279275853455764,0.734052111410602,1.733153638814016,0.1633602459739185,,,,
twitter-xlm-roberta-base,EN-NL,ordinal,7,13,0.7296600920653913,0.7295992274263641,1.6335103814582328,0.1368694977109493,0.7208815837049677,0.7244258872651357,1.605427974947808,0.1154964768201236,0.736191554699212,0.734052111410602,1.6576819407008083,0.154471643009498,,,,
robbert-2023-dutch-base,EN-NL,ordinal,7,13,0.7293091402777285,0.7382906808305166,1.6214389183969098,0.178308866431722,0.7047550203726184,0.7254697286012526,1.6127348643006263,0.1273503460090002,0.7468318783441283,0.7493261455525606,1.628930817610063,0.2208892596047512,,,,
bert-base-dutch-cased,EN-NL,ordinal,7,13,0.693280067741255,0.6933848382423949,1.8377595364558184,0.0658401435708204,0.6609961703797272,0.6680584551148225,1.8997912317327763,-0.0270426415745155,0.7180505798796432,0.7151841868823001,1.784366576819407,0.1437312477608231,,,,
deberta-v3-base,EN-NL,ordinal,7,13,0.7457562374471819,0.7513278609367455,1.5432158377595364,0.2153967667084717,0.7598437581331349,0.7651356993736952,1.4363256784968683,0.2404743075275384,0.7336383713711727,0.7394429469901168,1.6352201257861636,0.1938530922546388,,,,
dodrio,EN-NL,ordinal,7,13,0.7119700035673978,0.718010622887494,1.7407049734427813,0.0922836825768061,0.6851605138300002,0.7035490605427975,1.7400835073068894,0.0612028290537878,0.7305743197509449,0.7304582210242587,1.7412398921832883,0.1180530614191638,,,,
deberta-v3-base,EN-IT,regression,5,42,0.7465710674531787,0.7688524590163934,0.937680601924214,0.219482715198217,0.7387584002892608,0.7609603340292276,0.9731847064801906,0.2178410112098725,,,,,0.7557967593539688,0.7775229357798165,0.8986749590904606,0.21613659835384
roberta-base,EN-IT,regression,5,42,0.7262268945897097,0.7426229508196721,1.046732053072688,0.1366916373683721,0.7358587933314693,0.7484342379958246,1.037832524871579,0.1604359157138396,,,,,0.7146259055901735,0.7362385321100917,1.0565092760744854,0.097311693185388
bert-base-cased,EN-IT,regression,5,42,0.6655386653648694,0.7038251366120218,1.2073542701783069,0.0713685666543723,0.6106112337302777,0.6691022964509394,1.3147916219553022,0.0272751380795869,,,,,0.7221900520916547,0.7419724770642202,1.0893210283259105,0.1262102412885213
bertweet-base,EN-IT,regression,5,42,0.7252606105427504,0.7486338797814208,1.084114542524324,0.156978942382889,0.7582685142302634,0.7713987473903967,1.0066482824233791,0.261113229795244,,,,,0.6813628188922294,0.7236238532110092,1.169220824245646,0.0055305067274264
